Straße;Hausnummernbereich;PLZ;Stadtteil
"Binsenweg";"1 - 15";"51469";"Paffrath"
"Binsenweg";"2 - 18";"51469";"Paffrath"
"Birkenhain";"1 - 5";"51469";"Heidkamp"
"Birkenhain";"2 - 6";"51469";"Heidkamp"
"Birkenhöhenweg";"1 - 7";"51465";"Stadtmitte"
"Birkenhöhenweg";"4 - 10";"51465";"Stadtmitte"
"Birkenhöhenweg";"9 - 21";"51465";"Stadtmitte"
"Birkenhöhenweg";"12 - 18";"51465";"Stadtmitte"
"Birkenhöhenweg";"22 - 22";"51465";"Stadtmitte"
"Birkenweg";"1 - 13";"51467";"Schildgen"
"Birkenweg";"2 - 10";"51467";"Schildgen"
"Birkerfeld";"2 - 36";"51429";"Moitzfeld"
"Birkerfeld";"5 - 105";"51429";"Moitzfeld"
"Birkerhof";"1 - 1";"51429";"Moitzfeld"
"Birkerhof";"2 - 2";"51429";"Moitzfeld"
"Birkerhof";"6 - 16";"51429";"Moitzfeld"
"Birkerhöhe";"1 - 31";"51429";"Moitzfeld"
"Birkerhöhe";"2 - 4";"51429";"Moitzfeld"
"Birkerhöhe";"6 - 34";"51429";"Moitzfeld"
"Bonnschlade";"7 - 15";"51469";"Heidkamp"
"Börnchen";"1 - 1";"51467";"Katterbach"
"Borngasse";"1 - 1";"51469";"Paffrath"
"Borngasse";"2 - 2";"51469";"Paffrath"
"Borngasse";"40 - 88";"51469";"Paffrath"
"Borngasse";"63 - 81";"51469";"Paffrath"
"Borngasse";"83 - 95";"51469";"Paffrath"
"Borngasse";"99 - 105";"51469";"Paffrath"
"Borngasse";"115 - 139";"51469";"Paffrath"
"Bourgoinstraße";"1 - 5";"51469";"Gronau"
"Bourgoinstraße";"2 - 12";"51469";"Gronau"
"Brahmsstraße";"1 - 5";"51467";"Schildgen"
"Brahmsstraße";"2 - 2";"51467";"Schildgen"
"Brahmsstraße";"7 - 9";"51467";"Schildgen"
"Branderhof";"1 - 1";"51429";"Bärbroich"
"Brandroster";"1 - 5";"51427";"Refrath"
"Brandroster";"2 - 22";"51427";"Refrath"
"Brandroster";"7 - 21";"51427";"Refrath"
"Brandroster";"27 - 41";"51427";"Refrath"
"Brandroster";"30 - 68";"51427";"Refrath"
"Brandroster";"49 - 53";"51427";"Refrath"
"Brandroster";"55 - 67";"51427";"Refrath"
"Brandroster";"70 - 82";"51427";"Refrath"
"Braunkohlenstraße";"1 - 41";"51469";"Heidkamp"
"Braunkohlenstraße";"12 - 24";"51469";"Heidkamp"
"Braunkohlenstraße";"28 - 32";"51469";"Heidkamp"
"Braunsberg";"1 - 19";"51429";"Herkenrath"
"Braunsberg";"4 - 20";"51429";"Herkenrath"
"Braunsberg";"22 - 22";"51429";"Asselborn"
"Braunsberg";"24 - 80";"51429";"Asselborn"
"Braunsberg";"25 - 107";"51429";"Asselborn"
"Braunsberg";"90 - 94";"51429";"Asselborn"
"Braunsberg";"120 - 120";"51429";"Asselborn"
"Braunsberg";"130 - 130";"51429";"Asselborn"
"Braunsberger Feld";"1 - 29";"51429";"Herkenrath"
"Braunsberger Feld";"10 - 12";"51429";"Herkenrath"
"Breite";"1 - 21";"51429";"Herkenrath"
"Breitenweg";"4 - 24";"51429";"Herrenstrunden"
"Breitenweg";"9 - 19";"51429";"Herrenstrunden"
"Breslauer Straße";"1 - 7";"51469";"Hand"
"Breslauer Straße";"2 - 28";"51469";"Hand"
"Breslauer Straße";"9 - 27";"51469";"Hand"
"Breslauer Straße";"29 - 31";"51469";"Hand"
"Breslauer Straße";"30 - 44";"51469";"Hand"
"Breslauer Straße";"33 - 37";"51469";"Hand"
"Britanniahütte";"1 - 2";"51469";"Gronau"
"Britanniahütte";"4 - 32";"51469";"Gronau"
"Britanniahütte";"17 - 29";"51469";"Gronau"
"Broich";"1 - 25";"51429";"Bärbroich"
"Broichen";"1 - 1";"51429";"Kaule"
"Broichen";"2 - 2";"51429";"Kaule"
"Broicher Feld";"1 - 11";"51467";"Schildgen"
"Broicher Feld";"2 - 8";"51467";"Schildgen"
"Broicher Feld";"10 - 24";"51467";"Schildgen"
"Broicher Feld";"19 - 43";"51467";"Schildgen"
"Broicher Straße";"1 - 9";"51429";"Kaule"
"Broicher Straße";"2 - 50";"51429";"Kaule"
"Broicher Straße";"11 - 19";"51429";"Kaule"
"Broicher Straße";"23 - 43";"51429";"Kaule"
"Broicher Straße";"56 - 72";"51429";"Kaule"
"Broicher Straße";"84 - 94";"51429";"Kaule"
"Broichhausen";"5 - 10";"51429";"Bärbroich"
"Bromberger Straße";"9 - 25";"51469";"Hand"
"Bromberger Straße";"10 - 18";"51469";"Hand"
"Brucknerstraße";"1 - 9";"51467";"Schildgen"
"Brucknerstraße";"2 - 10";"51467";"Schildgen"
"Brüderstraße";"33 - 51";"51427";"Frankenforst"
"Brüderstraße";"46 - 46";"51427";"Frankenforst"
"Brüderstraße";"53 - 53";"51427";"Frankenforst"
"Brunhildenpfad";"1 - 23";"51469";"Gronau"
"Brunhildenpfad";"6 - 26";"51469";"Gronau"
"Büchel";"5 - 18";"51465";"Herrenstrunden"
"Bücheler Weg";"31 - 31";"51465";"Herrenstrunden"
"Büchelterhof";"1 - 1";"51429";"Asselborn"
"Buchenallee";"3 - 9";"51427";"Frankenforst"
"Buchenallee";"8 - 10";"51427";"Frankenforst"
"Buchenallee";"11 - 15";"51427";"Frankenforst"
"Buchenallee";"12 - 18";"51427";"Frankenforst"
"Buchenallee";"17 - 23";"51427";"Frankenforst"
"Buchenallee";"20 - 20";"51427";"Frankenforst"
"Buchenkampsweg";"8 - 18";"51427";"Refrath"
"Buchholzstraße";"1 - 35";"51469";"Gronau"
"Buchholzstraße";"2 - 14";"51469";"Gronau"
"Buchholzstraße";"37 - 39";"51469";"Gronau"
"Buchholzstraße";"40 - 60";"51469";"Gronau"
"Buchholzstraße";"41 - 55";"51469";"Gronau"
"Buchholzstraße";"65 - 105";"51469";"Gronau"
"Buchholzstraße";"80 - 80";"51469";"Paffrath"
"Buchholzstraße";"82 - 98";"51469";"Paffrath"
"Buchholzstraße";"109 - 109";"51469";"Paffrath"
"Buchholzstraße";"111 - 113";"51469";"Paffrath"
"Buchmühlenstraße";"2 - 12";"51465";"Stadtmitte"
"Buchmühlenstraße";"7 - 25";"51465";"Stadtmitte"
"Büchnerstraße";"3 - 15";"51429";"Herkenrath"
"Büchnerstraße";"4 - 22";"51429";"Herkenrath"
"Buchweizenweg";"1 - 23";"51427";"Lustheide"
"Buchweizenweg";"2 - 8";"51427";"Lustheide"
"Buchweizenweg";"10 - 30";"51427";"Lustheide"
"Buchweizenweg";"25 - 25";"51427";"Lustheide"
"Buchweizenweg";"31 - 35";"51427";"Lustheide"
"Buddestraße";"2 - 14";"51429";"Bensberg"
"Buddestraße";"11 - 21";"51429";"Bensberg"
"Buddestraße";"18 - 20";"51429";"Bensberg"
"Buddestraße";"25 - 31";"51429";"Bensberg"
"Burggraben";"1 - 7";"51429";"Bensberg"
"Burggraben";"8 - 8";"51429";"Bensberg"
"Burggraben";"9 - 37";"51429";"Bensberg"
"Burgherrenweg";"1 - 117";"51427";"Kippekausen"
"Burgherrenweg";"2 - 68";"51427";"Kippekausen"
"Burgplatz";"1 - 4";"51427";"Kippekausen"
"Burgplatz";"5 - 5";"51427";"Kippekausen"
"Burgplatz";"6 - 6";"51427";"Kippekausen"
"Burgplatz";"7 - 7";"51427";"Kippekausen"
"Burgstraße";"1 - 115";"51427";"Kippekausen"
"Burgstraße";"2 - 152";"51427";"Kippekausen"
"Büschemerstraße";"1 - 19";"51427";"Refrath"
"Büschemerstraße";"2 - 14";"51427";"Refrath"
"Büschemerstraße";"20 - 24";"51427";"Refrath"
"Büschemerstraße";"21 - 29";"51427";"Refrath"
"Buschhorner Weg";"2 - 12";"51467";"Nußbaum"
"Buschhorner Weg";"3 - 5";"51467";"Nußbaum"
"Buschhorner Weg";"9 - 11";"51467";"Nußbaum"
"Carl-Schurz-Weg";"4 - 28";"51429";"Bensberg"
"Carl-Schurz-Weg";"5 - 21";"51429";"Bensberg"
"Carl-Sonnenschein-Straße";"1 - 11";"51469";"Paffrath"
"Carl-Sonnenschein-Straße";"2 - 6";"51469";"Paffrath"
"Carl-Sonnenschein-Straße";"13 - 33";"51469";"Paffrath"
"Carl-von-Ossietzky-Straße";"4 - 98";"51469";"Hand"
"Carl-von-Ossietzky-Straße";"11 - 99";"51469";"Hand"
"Cederstraße";"1 - 3";"51465";"Stadtmitte"
"Cederstraße";"2 - 2";"51465";"Stadtmitte"
"Cederwald";"2 - 20";"51465";"Stadtmitte"
"Cederwaldstraße";"1 - 29";"51465";"Stadtmitte"
"Cederwaldstraße";"12 - 32";"51465";"Stadtmitte"
"Chlodwigstraße";"2 - 22";"51427";"Frankenforst"
"Christophorusstraße";"1 - 11";"51469";"Heidkamp"
"Christophorusstraße";"6 - 10";"51469";"Heidkamp"
"Christophorusstraße";"12 - 48";"51469";"Heidkamp"
"Christophorusstraße";"13 - 47";"51469";"Heidkamp"
"Clemensstraße";"1 - 17";"51469";"Paffrath"
"Clemensstraße";"4 - 24";"51469";"Paffrath"
"Combüchen";"1 - 5";"51465";"Herrenstrunden"
"Concordiaweg";"2 - 40";"51467";"Schildgen"
"Concordiaweg";"7 - 17";"51467";"Schildgen"
"Curiestraße";"1 - 5";"51467";"Schildgen"
"Curiestraße";"4 - 8";"51467";"Schildgen"
"Dählchen";"1 - 29";"51469";"Paffrath"
"Dählchen";"2 - 20";"51469";"Paffrath"
"Dählchen";"22 - 48";"51469";"Paffrath"
"Damaschkestraße";"1 - 3";"51469";"Gronau"
"Damaschkestraße";"5 - 41";"51469";"Gronau"
"Damaschkestraße";"8 - 46";"51469";"Gronau"
"Damaschkestraße";"48 - 54";"51469";"Gronau"
"Danielsweg";"2 - 8";"51429";"Lückerath"
"Danielsweg";"3 - 11";"51429";"Lückerath"
"Danziger Straße";"2 - 8";"51469";"Hand"
"Danziger Straße";"5 - 5";"51469";"Hand"
"Danziger Straße";"7 - 19";"51469";"Hand"
"Danziger Straße";"10 - 18";"51469";"Hand"
"Dariusstraße";"1 - 5";"51429";"Kaule"
"Dariusstraße";"6 - 12";"51429";"Kaule"
"Dariusstraße";"18 - 26";"51429";"Kaule"
"De-Gasperi-Straße";"1 - 9";"51469";"Gronau"
"De-Gasperi-Straße";"2 - 8";"51469";"Gronau"
"Dechant-Müller-Straße";"10 - 14";"51465";"Stadtmitte"
"Dechant-Müller-Straße";"11 - 11";"51465";"Stadtmitte"
"Dellbrücker Straße";"53 - 97";"51469";"Hand"
"Dellbrücker Straße";"99 - 119";"51469";"Hand"
"Dellbrücker Straße";"165 - 199";"51469";"Paffrath"
"Dellbrücker Straße";"200 - 240";"51469";"Paffrath"
"Dellbrücker Straße";"223 - 237";"51469";"Paffrath"
"Dellbrücker Straße";"246 - 262";"51469";"Paffrath"
"Dellbrücker Straße";"247 - 273";"51469";"Paffrath"
"Dellbrücker Straße";"264 - 272";"51469";"Paffrath"
"Dellbrücker Straße";"287 - 295";"51469";"Paffrath"
"Dellbrücker Straße";"297 - 299";"51469";"Paffrath"
"Deutscher Platz";"1 - 7";"51429";"Bensberg"
"Deutscher Platz";"2 - 8";"51429";"Bensberg"
"Diakonissenweg";"1 - 17";"51429";"Moitzfeld"
"Diakonissenweg";"2 - 36";"51429";"Moitzfeld"
"Diakonissenweg";"19 - 37";"51429";"Moitzfeld"
"Diakonissenweg";"44 - 44";"51429";"Moitzfeld"
"Diakonissenweg";"60 - 64";"51429";"Moitzfeld"
"Diepeschrath";"1 - 3";"51469";"Hand"
"Diepeschrath";"2 - 6";"51469";"Hand"
"Diepeschrather Weg";"1 - 27";"51469";"Hand"
"Diepeschrather Weg";"4 - 14";"51469";"Hand"
"Diepeschrather Weg";"22 - 40";"51469";"Hand"
"Diepeschrather Weg";"29 - 47";"51469";"Hand"
"Diepeschrather Weg";"40 - 54";"51469";"Hand"
"Diepeschrather Weg";"80 - 80";"51469";"Hand"
"Dietrich-von-Dorendorp-St";"1 - 35";"51429";"Herkenrath"
"Dietrich-von-Dorendorp-St";"2 - 12";"51429";"Herkenrath"
"Dietrich-von-Dorendorp-St";"14 - 42";"51429";"Herkenrath"
"Dolmanstraße";"14 - 22";"51427";"Refrath"
"Dolmanstraße";"15 - 15";"51427";"Refrath"
"Dolmanstraße";"39 - 47";"51427";"Alt-Refrath"
"Dolmanstraße";"49 - 65";"51427";"Alt-Refrath"
"Dolmanstraße";"56 - 60";"51427";"Alt-Refrath"
"Dolmanstraße";"60 - 66";"51427";"Alt-Refrath"
"Dolmanstraße";"68 - 108";"51427";"Alt-Refrath"
"Dolmanstraße";"69 - 73";"51427";"Alt-Refrath"
"Dolmanstraße";"77 - 95";"51427";"Alt-Refrath"
"Dolmanstraße";"112 - 126";"51427";"Alt-Refrath"
"Dombach";"9 - 27";"51465";"Sand"
"Dombach-Sander-Straße";"42 - 94";"51465";"Sand"
"Dombach-Sander-Straße";"87 - 115";"51465";"Sand"
"Dombach-Sander-Straße";"117 - 133";"51465";"Sand"
"Don-Bosco-Straße";"1 - 15";"51469";"Paffrath"
"Don-Bosco-Straße";"2 - 22";"51469";"Paffrath"
"Don-Bosco-Straße";"17 - 27";"51469";"Paffrath"
"Don-Bosco-Straße";"29 - 45";"51469";"Paffrath"
"Dorn";"2 - 2";"51429";"Bärbroich"
"Dorn";"5 - 17";"51429";"Bärbroich"
"Dorn";"10 - 10";"51429";"Bärbroich"
"Dornröschenpfad";"1 - 5";"51469";"Heidkamp"
"Dornröschenpfad";"6 - 11";"51469";"Heidkamp"
"Dr.-Lautz-Weg";"1 - 21";"51427";"Kippekausen"
"Dr.-Lautz-Weg";"2 - 4";"51427";"Kippekausen"
"Dr.-Lautz-Weg";"8 - 24";"51427";"Kippekausen"
"Dr.-Müller-Frank-Straße";"15 - 15";"51429";"Moitzfeld"
"Dr.-Müller-Frank-Straße";"41 - 45";"51429";"Moitzfeld"
"Dr.-Müller-Frank-Straße";"999 - 999";"51429";"Herkenrath"
"Dr.-Robert-Koch-Straße";"1 - 17";"51465";"Stadtmitte"
"Dr.-Robert-Koch-Straße";"8 - 20";"51465";"Stadtmitte"
"Drecker Wiese";"3 - 23";"51469";"Paffrath"
"Drecker Wiese";"4 - 22";"51469";"Paffrath"
"Drecker Wiese";"26 - 36";"51469";"Paffrath"
"Dresherscheid";"2 - 6";"51429";"Bärbroich"
"Drosselweg";"1 - 47";"51467";"Schildgen"
"Drosselweg";"2 - 38";"51467";"Schildgen"
"Drosselweg";"40 - 46";"51467";"Schildgen"
"Duckmaus";"1 - 7";"51429";"Lückerath"
"Duckmaus";"4 - 10";"51429";"Lückerath"
"Duckterather Busch";"1 - 17";"51469";"Hand"
"Duckterather Busch";"2 - 18";"51469";"Hand"
"Duckterather Weg";"ohne Hausnummer";"51469";"Google Maps: Bergisch Gladbach-Mülheim"
"Duisbergstraße";"1 - 9";"51467";"Schildgen"
"Duisbergstraße";"2 - 14";"51467";"Schildgen"
"Dünnhofsweg";"1 - 71";"51469";"Gronau"
"Dünnhofsweg";"2 - 32";"51469";"Gronau"
"Dünnhofsweg";"34 - 70";"51469";"Gronau"
"Dünnwalder Weg";"6 - 44";"51467";"Schildgen"
"Ehrenfeld";"1 - 63";"51429";"Moitzfeld"
"Ehrenfeld";"2 - 40";"51429";"Moitzfeld"
"Ehrenfeld";"42 - 44";"51429";"Moitzfeld"
"Eibenweg";"Duckterather Weg 28 - 34";"51469";"Hand"
"Eibenweg";"Duckterather Weg 35 - 35";"51469";"Hand"
"Eibenweg";"Duckterather Weg 41 - 91";"51469";"Hand"
"Eibenweg";"Duckterather Weg 42 - 92";"51469";"Hand"
"Eichelstraße";"5 - 11";"51429";"Bensberg"
"Eichelstraße";"6 - 16";"51429";"Bensberg"
"Eichelstraße";"13 - 15";"51429";"Bensberg"
"Eichelstraße";"17 - 25";"51429";"Bensberg"
"Eichelstraße";"18 - 32";"51429";"Bensberg"
"Eichelstraße";"29 - 29";"51429";"Bensberg"
"Eichen";"5 - 23";"51467";"Katterbach"
"Eichen";"6 - 48";"51467";"Katterbach"
"Eichendorffstraße";"1 - 21";"51427";"Refrath"
"Eichendorffstraße";"2 - 16";"51427";"Refrath"
"Eichendorffstraße";"18 - 18";"51427";"Refrath"
"Eichenhainallee";"2 - 2";"51427";"Frankenforst"
"Eichenhainallee";"7 - 19";"51427";"Frankenforst"
"Eichenhainallee";"8 - 22";"51427";"Frankenforst"
"Eichenhainallee";"23 - 29";"51427";"Frankenforst"
"Eichenhainallee";"24 - 38";"51427";"Frankenforst"
"Eichenhainallee";"35 - 51";"51427";"Frankenforst"
"Eichenhainallee";"40 - 42";"51427";"Frankenforst"
"Eichenhainallee";"42 - 56";"51427";"Frankenforst"
"Eichenhainallee";"63 - 65";"51427";"Frankenforst"
"Eichenhainallee";"67 - 79";"51427";"Frankenforst"
"Eichenweg";"1 - 9";"51467";"Schildgen"
"Eichenweg";"2 - 22";"51467";"Schildgen"
"Eichenweg";"11 - 19";"51467";"Schildgen"
"Eicherhof";"1 - 1";"51465";"Sand"
"Eidechsenweg";"1 - 15";"51427";"Frankenforst"
"Eidechsenweg";"2 - 20";"51427";"Frankenforst"
"Eintrachtstraße";"2 - 36";"51429";"Bensberg"
"Elfenpfad";"Duckterather Weg 28 - 34";"51469";"Hand"
"Elfenpfad";"Duckterather Weg 35 - 35";"51469";"Hand"
"Elfenpfad";"Duckterather Weg 41 - 91";"51469";"Hand"
"Elfenpfad";"Duckterather Weg 42 - 92";"51469";"Hand"
"Elisabethstraße";"1 - 5";"51429";"Lückerath"
"Elisabethstraße";"2 - 12";"51429";"Lückerath"
"Elisabethstraße";"7 - 15";"51429";"Lückerath"
"Elsa-Brändström-Straße";"1 - 27";"51469";"Paffrath"
"Elsa-Brändström-Straße";"2 - 30";"51469";"Paffrath"
"Elsterstraße";"1 - 15";"51427";"Frankenforst"
"Elsterstraße";"2 - 12";"51427";"Frankenforst"
"Elsterstraße";"19 - 31";"51427";"Frankenforst"
"Elsterstraße";"22 - 28";"51427";"Frankenforst"
"Emilie-Schmitz-Weg";"998 - 998";"51429";"Bensberg"
"Engelbertstraße";"1 - 5";"51429";"Bensberg"
"Engelbertstraße";"2 - 4";"51429";"Bensberg"
"Engelsgut";"2 - 28";"51467";"Hebborn"
"Engelsgut";"3 - 73";"51467";"Hebborn"
"Enrico-Fermi-Straße";"2 - 24";"51429";"Moitzfeld"
"Erikastraße";"1 - 21";"51427";"Refrath"
"Erikastraße";"2 - 22";"51427";"Refrath"
"Erlengrund";"3 - 9";"51429";"Kaule"
"Erlengrund";"4 - 6";"51429";"Kaule"
"Erlenweg";"1 - 7";"51467";"Schildgen"
"Erlenweg";"2 - 12";"51467";"Schildgen"
"Erlenweg";"9 - 29";"51467";"Schildgen"
"Erna-Klug-Weg";"998 - 998";"51429";"Bensberg"
"Ernst-Moritz-Arndt-Straße";"1 - 13";"51427";"Refrath"
"Ernst-Moritz-Arndt-Straße";"4 - 16";"51427";"Refrath"
"Ernst-Reuter-Straße";"1 - 11";"51427";"Frankenforst"
"Ernst-Reuter-Straße";"2 - 8";"51427";"Frankenforst"
"Ernst-Reuter-Straße";"10 - 28";"51427";"Frankenforst"
"Ernst-Reuter-Straße";"13 - 17";"51427";"Frankenforst"
"Erntestraße";"1 - 41";"51427";"Lustheide"
"Erntestraße";"2 - 2";"51427";"Lustheide"
"Erntestraße";"4 - 12";"51427";"Lustheide"
"Erntestraße";"14 - 24";"51427";"Lustheide"
"Erntestraße";"26 - 40";"51427";"Lustheide"
"Eschenbroichstraße";"2 - 12";"51469";"Hand"
"Eschenbroichstraße";"5 - 5";"51469";"Hand"
"Eschenbroichstraße";"7 - 17";"51469";"Hand"
"Eschenbroichstraße";"18 - 24";"51469";"Hand"
"Eschenbroichstraße";"21 - 31";"51469";"Hand"
"Eschenbroichstraße";"28 - 52";"51469";"Hand"
"Eschenbroichstraße";"33 - 49";"51469";"Hand"
"Eschenbroichstraße";"54 - 58";"51469";"Hand"
"Eschenweg";"Eschenbroichstraße 2 - 12";"51469";"Hand"
"Eschenweg";"Eschenbroichstraße 5 - 5";"51469";"Hand"
"Eschenweg";"Eschenbroichstraße 7 - 17";"51469";"Hand"
"Eschenweg";"Eschenbroichstraße 18 - 24";"51469";"Hand"
"Eschenweg";"Eschenbroichstraße 21 - 31";"51469";"Hand"
"Eschenweg";"Eschenbroichstraße 28 - 52";"51469";"Hand"
"Eschenweg";"Eschenbroichstraße 33 - 49";"51469";"Hand"
"Eschenweg";"Eschenbroichstraße 54 - 58";"51469";"Hand"
"Eugen-Langen-Straße";"1 - 11";"51427";"Kippekausen"
"Eugen-Langen-Straße";"2 - 14";"51427";"Kippekausen"
"Eulenburg";"1 - 5";"51465";"Sand"
"Eulenburg";"6 - 6";"51465";"Sand"
"Eulenweg";"1 - 7";"51427";"Frankenforst"
"Eulenweg";"2 - 10";"51427";"Frankenforst"
"Fahner Weg";"1 - 31";"51467";"Schildgen"
"Fahner Weg";"2 - 6";"51467";"Schildgen"
"Fahner Weg";"10 - 36";"51467";"Schildgen"
"Fahner Weg";"35 - 41";"51467";"Schildgen"
"Falkenstraße";"1 - 1";"51427";"Frankenforst"
"Falkenstraße";"2 - 10";"51427";"Frankenforst"
"Falkenstraße";"11 - 11";"51427";"Frankenforst"
"Falltorstraße";"1 - 23";"51429";"Bensberg"
"Falltorstraße";"2 - 6";"51429";"Bensberg"
"Falltorstraße";"8 - 10";"51429";"Bensberg"
"Falltorstraße";"12 - 24";"51429";"Bensberg"
"Falltorstraße";"26 - 34";"51429";"Bensberg"
"Falltorstraße";"31 - 37";"51429";"Bensberg"
"Farnweg";"1 - 25";"51469";"Paffrath"
"Farnweg";"2 - 20";"51469";"Paffrath"
"Farnweg";"32 - 38";"51469";"Paffrath"
"Fasanenstraße";"1 - 11";"51427";"Frankenforst"
"Fasanenstraße";"6 - 18";"51427";"Frankenforst"
"Fasanenstraße";"20 - 40";"51427";"Frankenforst"
"Fasanenstraße";"27 - 37";"51427";"Frankenforst"
"Fauthstraße";"1 - 113";"51465";"Stadtmitte"
"Fauthstraße";"2 - 84";"51465";"Stadtmitte"
"Feldstraße";"5 - 53";"51469";"Heidkamp"
"Feldstraße";"6 - 28";"51469";"Heidkamp"
"Feldstraße";"67 - 113";"51469";"Heidkamp"
"Feldstraße";"82 - 98";"51469";"Heidkamp"
"Feldstraße";"104 - 126";"51469";"Heidkamp"
"Feldstraße";"117 - 123";"51469";"Heidkamp"
"Feldstraße";"125 - 129";"51469";"Heidkamp"
"Feldstraße";"128 - 136";"51469";"Heidkamp"
"Ferdinand-Schmitz-Straße";"1 - 15";"51429";"Lückerath"
"Ferdinand-Schmitz-Straße";"2 - 32";"51429";"Lückerath"
"Ferdinand-Schmitz-Straße";"17 - 33";"51429";"Lückerath"
"Ferdinand-Schmitz-Straße";"34 - 42";"51429";"Lückerath"
"Ferdinand-Stucker-Straße";"1 - 1";"51429";"Bensberg"
"Ferdinand-Stucker-Straße";"2 - 12";"51429";"Bensberg"
"Ferdinand-Stucker-Straße";"3 - 21";"51429";"Bensberg"
"Ferdinand-Stucker-Straße";"14 - 26";"51429";"Bensberg"
"Ferdinand-Stucker-Straße";"23 - 23";"51429";"Bensberg"
"Ferdinand-Stucker-Straße";"27 - 33";"51429";"Kaule"
"Ferdinand-Stucker-Straße";"32 - 40";"51429";"Kaule"
"Ferdinandstraße";"4 - 8";"51469";"Gronau"
"Ferdinandstraße";"16 - 16";"51469";"Gronau"
"Ferdinandstraße";"18 - 34";"51469";"Gronau"
"Ferdinandstraße";"23 - 39";"51469";"Gronau"
"Ferrenbergstraße";"2 - 24";"51465";"Stadtmitte"
"Ferrenbergstraße";"5 - 5";"51465";"Stadtmitte"
"Ferrenbergstraße";"19 - 33";"51465";"Stadtmitte"
"Ferrenbergstraße";"34 - 96";"51465";"Stadtmitte"
"Ferrenbergstraße";"37 - 45";"51465";"Stadtmitte"
"Ferrenbergstraße";"57 - 103";"51465";"Stadtmitte"
"Ferrenbergstraße";"105 - 125";"51465";"Stadtmitte"
"Ferrenbergstraße";"120 - 138";"51465";"Stadtmitte"
"Ferrenbergstraße";"131 - 157";"51469";"Heidkamp"
"Ferrenbergstraße";"144 - 176";"51469";"Heidkamp"
"Fichtenweg";"1 - 13";"51467";"Schildgen"
"Fichtenweg";"2 - 18";"51467";"Schildgen"
"Finkenweg";"2 - 8";"51467";"Schildgen"
"Finkenweg";"3 - 3";"51467";"Schildgen"
"Fischbachstraße";"3 - 3";"51429";"Bensberg"
"Flachsberg";"1 - 15";"51469";"Paffrath"
"Flachsberg";"2 - 14";"51469";"Paffrath"
"Flehbachmühlenweg";"8 - 12";"51427";"Lustheide"
"Fliederweg";"2 - 8";"51429";"Bensberg"
"Flurstraße";"1 - 9";"51427";"Lustheide"
"Flurstraße";"2 - 10";"51427";"Lustheide"
"Föhrenhöfchen";"1 - 4";"51467";"Hebborn"
"Föhrenweg";"1 - 17";"51427";"Frankenforst"
"Föhrenweg";"4 - 10";"51427";"Frankenforst"
"Fontanestraße";"1 - 21";"51429";"Herkenrath"
"Fontanestraße";"2 - 24";"51429";"Herkenrath"
"Fontanestraße";"23 - 47";"51429";"Herkenrath"
"Forellenweg";"1 - 11";"51427";"Lustheide"
"Forellenweg";"2 - 14";"51427";"Lustheide"
"Försterweg";"1 - 19";"51429";"Kaule"
"Försterweg";"2 - 18";"51429";"Kaule"
"Forststraße";"1 - 5";"51429";"Kaule"
"Forststraße";"2 - 8";"51429";"Kaule"
"Forststraße";"9 - 19";"51429";"Kaule"
"Forststraße";"10 - 18";"51429";"Kaule"
"Frankenforster Straße";"2 - 12";"51427";"Frankenforst"
"Frankenforster Straße";"27 - 29";"51427";"Frankenforst"
"Frankenforster Straße";"36 - 40";"51427";"Frankenforst"
"Frankenforster Straße";"62 - 86";"51427";"Frankenforst"
"Frankenforster Straße";"77 - 77";"51427";"Frankenforst"
"Frankenforster Straße";"90 - 102";"51427";"Frankenforst"
"Frankenforster Straße";"104 - 132";"51427";"Frankenforst"
"Frankenforster Straße";"135 - 149";"51427";"Lustheide"
"Frankenforster Straße";"140 - 142";"51427";"Frankenforst"
"Frankenforster Straße";"152 - 166";"51427";"Lustheide"
"Frankenstraße";"1 - 33";"51427";"Frankenforst"
"Frankenstraße";"2 - 32";"51427";"Frankenforst"
"Frankenstraße";"34 - 70";"51427";"Frankenforst"
"Frankenstraße";"35 - 61";"51427";"Frankenforst"
"Franz-Coenen-Straße";"1 - 9";"51429";"Moitzfeld"
"Franz-Coenen-Straße";"2 - 14";"51429";"Moitzfeld"
"Franz-Coenen-Straße";"15 - 33";"51429";"Moitzfeld"
"Franz-Heider-Straße";"1 - 21";"51469";"Paffrath"
"Franz-Heider-Straße";"4 - 54";"51469";"Paffrath"
"Franz-Heider-Straße";"25 - 25";"51469";"Paffrath"
"Franz-Heider-Straße";"58 - 58";"51469";"Paffrath"
"Franz-Hitze-Straße";"1 - 43";"51469";"Hand"
"Franz-Hitze-Straße";"6 - 46";"51469";"Hand"
"Franz-Hitze-Straße";"45 - 65";"51469";"Hand"
"Franz-Hitze-Straße";"48 - 52";"51469";"Hand"
"Franz-Hitze-Straße";"62 - 64";"51469";"Hand"
"Franz-Hitze-Straße";"66 - 68";"51469";"Hand"
"Freiheit";"1 - 21";"51429";"Bensberg"
"Freiheit";"2 - 16";"51429";"Bensberg"
"Friedhofsweg";"4 - 11";"51429";"Bensberg"
"Friedrich-Ebert-Straße";"60 - 60";"51429";"Moitzfeld"
"Friedrich-Ebert-Straße";"68 - 72";"51429";"Moitzfeld"
"Friedrich-Ebert-Straße";"75 - 75";"51429";"Moitzfeld"
